Symbol	Ensembl	Canonical	MANE
ATAD3B	ENST00000673477	Y	Y
ENSG00000284740	ENST00000641679	Y	N
ATAD3A	ENST00000378756	Y	Y
TMEM240	ENST00000378733	Y	Y
SSU72	ENST00000291386	Y	Y
ENSG00000215014	ENST00000647566	Y	N
ENSG00000274481	ENST00000621860	Y	N
FNDC10	ENST00000422725	Y	Y
ENSG00000286989	ENST00000658591	Y	N
ENSG00000272106	ENST00000607222	Y	N
MIB2	ENST00000355826	Y	Y
MMP23B	ENST00000356026	Y	Y
CDK11B	ENST00000341832	Y	Y
ENSG00000272004	ENST00000607013	Y	N
SLC35E2B	ENST00000617444	Y	Y
ENSG00000269737	ENST00000597891	Y	N
MMP23A	ENST00000234610	Y	N
CDK11A	ENST00000404249	Y	Y
ENSG00000268575	ENST00000598846	Y	N
SLC35E2A	ENST00000643943	Y	N
ENSG00000227775	ENST00000418950	Y	N
NADK	ENST00000341426	Y	Y
GNB1	ENST00000378609	Y	Y
ENSG00000231050	ENST00000689170	Y	N
CALML6	ENST00000307786	Y	Y
TMEM52	ENST00000310991	Y	Y
CFAP74	ENST00000682832	Y	Y
ENSG00000233542	ENST00000443930	Y	N
GABRD	ENST00000378585	Y	Y
ENSG00000226969	ENST00000449154	Y	N
PRKCZ	ENST00000378567	Y	Y
ENSG00000271806	ENST00000606533	Y	N
PRKCZ-AS1	ENST00000333854	Y	N
FAAP20	ENST00000378546	Y	Y
ENSG00000234396	ENST00000442483	Y	N
SKI	ENST00000378536	Y	Y
ENSG00000287356	ENST00000661319	Y	N
MORN1	ENST00000378531	Y	Y
ENSG00000272161	ENST00000607720	Y	N
ENSG00000269896	ENST00000417061	Y	N
ENSG00000272420	ENST00000607858	Y	N
RER1	ENST00000605895	Y	Y
PEX10	ENST00000447513	Y	Y
PLCH2	ENST00000378486	Y	Y
ENSG00000224387	ENST00000424657	Y	N
ENSG00000229393	ENST00000442305	Y	N
PANK4	ENST00000378466	Y	Y
HES5	ENST00000378453	Y	Y
ENSG00000272449	ENST00000644246	Y	N
TNFRSF14-AS1	ENST00000416860	Y	N
TNFRSF14	ENST00000355716	Y	Y
ENSG00000225931	ENST00000456687	Y	N
ENSG00000228037	ENST00000424215	Y	N
ENSG00000289610	ENST00000686752	Y	N
PRXL2B	ENST00000419916	Y	Y
MMEL1	ENST00000378412	Y	Y
MMEL1-AS1	ENST00000427302	Y	N
TTC34	ENST00000401095	Y	N
ENSG00000285945	ENST00000648684	Y	N
ENSG00000283259	ENST00000638002	Y	N
ENSG00000233234	ENST00000457440	Y	N
ENSG00000287396	ENST00000664694	Y	N
ENSG00000231630	ENST00000429389	Y	N
ENSG00000284745	ENST00000642073	Y	N
ACTRT2	ENST00000378404	Y	Y
PRDM16-DT	ENST00000687743	Y	N
PRDM16	ENST00000270722	Y	Y
MIR4251	ENST00000635819	Y	N
ENSG00000226286	ENST00000440516	Y	N
ENSG00000279839	ENST00000624175	Y	N
ENSG00000272235	ENST00000607061	Y	N
ENSG00000287828	ENST00000669140	Y	N
ENSG00000286518	ENST00000665088	Y	N
ARHGEF16	ENST00000378378	Y	Y
ENSG00000272088	ENST00000606489	Y	N
MEGF6	ENST00000356575	Y	Y
MIR551A	ENST00000385042	Y	N
ENSG00000238260	ENST00000688510	Y	N
TPRG1L	ENST00000378344	Y	Y
WRAP73	ENST00000270708	Y	Y
TP73	ENST00000378295	Y	Y
TP73-AS3	ENST00000443034	Y	N
TP73-AS2	ENST00000416554	Y	N
ENSG00000276189	ENST00000611447	Y	N
TP73-AS1	ENST00000637775	Y	N
CCDC27	ENST00000294600	Y	Y
SMIM1	ENST00000642557	Y	Y
LRRC47	ENST00000378251	Y	Y
RN7SL574P	ENST00000581512	Y	N
ENSG00000272153	ENST00000607459	Y	N
CEP104	ENST00000378230	Y	Y
DFFB	ENST00000378209	Y	Y
C1orf174	ENST00000361605	Y	Y
LINC01134	ENST00000442673	Y	N
LINC01346	ENST00000412674	Y	N
LINC01345	ENST00000635247	Y	N
LINC02780	ENST00000642026	Y	N
ENSG00000284703	ENST00000642139	Y	N
EEF1DP6	ENST00000449232	Y	N
LINC01777	ENST00000635002	Y	N
ENSG00000284694	ENST00000641472	Y	N
ENSG00000227169	ENST00000438791	Y	N
LINC01646	ENST00000634256	Y	N
AJAP1	ENST00000378191	Y	Y
ENSG00000287586	ENST00000661891	Y	N
ENSG00000284739	ENST00000641254	Y	N
LINC02781	ENST00000641403	Y	N
LINC02782	ENST00000443270	Y	N
ENSG00000284616	ENST00000641871	Y	N
ENSG00000284692	ENST00000641426	Y	N
ENSG00000284666	ENST00000641583	Y	N
ENSG00000260972	ENST00000564261	Y	N
ENSG00000283356	ENST00000637697	Y	N
ENSG00000236948	ENST00000637702	Y	N
ENSG00000264341	ENST00000579887	Y	N
MIR4689	ENST00000582517	Y	N
NPHP4	ENST00000378156	Y	Y
KCNAB2	ENST00000378083	Y	Y
CHD5	ENST00000262450	Y	Y
ENSG00000285629	ENST00000484532	Y	N
RPL22	ENST00000234875	Y	Y
RNF207-AS1	ENST00000455744	Y	N
RNF207	ENST00000377939	Y	Y
ICMT	ENST00000343813	Y	Y
LINC00337	ENST00000650463	Y	N
HES3	ENST00000377898	Y	Y
GPR153	ENST00000377893	Y	Y
ACOT7	ENST00000361521	Y	Y
ENSG00000271746	ENST00000607670	Y	N
HES2	ENST00000377834	Y	Y
ESPN	ENST00000645284	Y	Y
MIR4252	ENST00000585139	Y	N
ENSG00000231868	ENST00000419034	Y	N
TNFRSF25	ENST00000356876	Y	Y
PLEKHG5	ENST00000377728	Y	Y
NOL9	ENST00000377705	Y	Y
RNU6-731P	ENST00000517213	Y	N
ENSG00000229519	ENST00000456162	Y	N
TAS1R1	ENST00000333172	Y	Y
ZBTB48	ENST00000377674	Y	Y
KLHL21	ENST00000377658	Y	Y
PHF13	ENST00000377648	Y	Y
THAP3	ENST00000054650	Y	Y
DNAJC11	ENST00000377577	Y	Y
LINC01672	ENST00000414210	Y	N
ENSG00000284744	ENST00000641757	Y	N
CAMTA1-DT	ENST00000442889	Y	N
CAMTA1	ENST00000303635	Y	Y
ENSG00000227950	ENST00000433407	Y	N
ENSG00000237365	ENST00000456701	Y	N
RNU1-8P	ENST00000384328	Y	N
CAMTA1-IT1	ENST00000427317	Y	N
CAMTA1-AS2	ENST00000618051	Y	N
CAMTA1-AS1	ENST00000440032	Y	N
ENSG00000270171	ENST00000602640	Y	N
ENSG00000270035	ENST00000602973	Y	N
ENSG00000269978	ENST00000602916	Y	N
VAMP3	ENST00000054666	Y	Y
ENSG00000269925	ENST00000602406	Y	N
PER3	ENST00000377532	Y	Y
ENSG00000236266	ENST00000451646	Y	N
UTS2	ENST00000361696	Y	Y
TNFRSF9	ENST00000377507	Y	Y
ENSG00000270330	ENST00000603760	Y	N
PARK7	ENST00000338639	Y	Y
Y_RNA	ENST00000363474	Y	N
ENSG00000284747	ENST00000641354	Y	N
ENSG00000284716	ENST00000641100	Y	N
ERRFI1	ENST00000377482	Y	Y
ENSG00000238290	ENST00000445300	Y	N
ENSG00000232848	ENST00000399343	Y	N
ENSG00000229305	ENST00000453364	Y	N
ENSG00000288816	ENST00000684850	Y	N
LINC01714	ENST00000670361	Y	N
RNU1-7P	ENST00000364105	Y	N
ENSG00000233645	ENST00000424689	Y	N
RNU6-991P	ENST00000516168	Y	N
SLC45A1	ENST00000471889	Y	Y
Y_RNA	ENST00000516445	Y	N
RERE	ENST00000400908	Y	Y
RERE-AS1	ENST00000449895	Y	N
ENSG00000221083	ENST00000408156	Y	N
ENSG00000270282	ENST00000605785	Y	N
RPL7P11	ENST00000437586	Y	N
RPL7P7	ENST00000428803	Y	N
Y_RNA	ENST00000410579	Y	N
ENSG00000226545	ENST00000445254	Y	N
ENSG00000228423	ENST00000433876	Y	N
RPL23AP19	ENST00000436229	Y	N
ENO1	ENST00000234590	Y	Y
MIR6728	ENST00000618792	Y	N
ENO1-AS1	ENST00000442636	Y	N
RNU6-304P	ENST00000364855	Y	N
HMGN2P17	ENST00000425872	Y	N
ENSG00000232208	ENST00000424862	Y	N
ENSG00000232663	ENST00000431968	Y	N
CA6	ENST00000377443	Y	Y
RN7SL451P	ENST00000583026	Y	N
SLC2A7	ENST00000400906	Y	Y
SLC2A5	ENST00000377424	Y	Y
ENSG00000252404	ENST00000516595	Y	N
GPR157	ENST00000377411	Y	Y
MIR34AHG	ENST00000635687	Y	N
MIR34A	ENST00000385130	Y	N
LNCTAM34A	ENST00000635271	Y	N
H6PD	ENST00000377403	Y	Y
SPSB1	ENST00000328089	Y	Y
ENSG00000284652	ENST00000641006	Y	N
LINC02606	ENST00000641940	Y	N
RNA5SP40	ENST00000517147	Y	N
ENSG00000235263	ENST00000441033	Y	N
SLC25A33	ENST00000302692	Y	Y
ENSG00000231181	ENST00000435277	Y	N
TMEM201	ENST00000340381	Y	Y
PIK3CD	ENST00000377346	Y	Y
PIK3CD-AS1	ENST00000377320	Y	N
ENSG00000233268	ENST00000426570	Y	N
PIK3CD-AS2	ENST00000415330	Y	N
CLSTN1	ENST00000377298	Y	Y
MZT1P1	ENST00000603781	Y	N
ENSG00000280113	ENST00000639753	Y	N
CTNNBIP1	ENST00000377263	Y	Y
ENSG00000223989	ENST00000454104	Y	N
ENSG00000285701	ENST00000648956	Y	N
LZIC	ENST00000377223	Y	Y
ENSG00000228150	ENST00000445884	Y	N
NMNAT1	ENST00000377205	Y	Y
RN7SKP269	ENST00000365545	Y	N
TMEM274P	ENST00000636827	Y	N
MIR5697	ENST00000578045	Y	N
ENSG00000241326	ENST00000413148	Y	N
RBP7	ENST00000294435	Y	Y
UBE4B	ENST00000343090	Y	Y
ENSG00000224340	ENST00000456484	Y	N
PGAM1P11	ENST00000416729	Y	N
RNU6-828P	ENST00000364876	Y	N
KIF1B	ENST00000676179	Y	Y
ENSG00000264881	ENST00000577266	Y	N
RNU6-37P	ENST00000362692	Y	N
RN7SL731P	ENST00000584329	Y	N
ENSG00000284735	ENST00000641495	Y	N
ENSG00000284642	ENST00000641335	Y	N
PGD	ENST00000270776	Y	Y
ENSG00000271989	ENST00000607572	Y	N
CENPS	ENST00000309048	Y	Y
CENPS-CORT	ENST00000602787	Y	N
CORT	ENST00000377049	Y	Y
DFFA	ENST00000377038	Y	Y
ENSG00000203469	ENST00000424487	Y	N
PEX14	ENST00000356607	Y	Y
ENSG00000287727	ENST00000663738	Y	N
RN7SL614P	ENST00000461850	Y	N
CASZ1	ENST00000377022	Y	Y
ENSG00000272078	ENST00000606802	Y	N
HSPE1P24	ENST00000450782	Y	N
C1orf127	ENST00000377004	Y	N
CFL1P6	ENST00000400899	Y	N
TARDBP	ENST00000240185	Y	Y
MASP2	ENST00000400897	Y	Y
SRM	ENST00000376957	Y	Y
EXOSC10	ENST00000376936	Y	Y
ENSG00000226849	ENST00000452378	Y	N
EXOSC10-AS1	ENST00000435388	Y	N
MTOR	ENST00000361445	Y	Y
MTOR-AS1	ENST00000445982	Y	N
RNU6-537P	ENST00000517277	Y	N
ANGPTL7	ENST00000376819	Y	Y
RNU6-291P	ENST00000384720	Y	N
RPL39P6	ENST00000448289	Y	N
UBIAD1	ENST00000376810	Y	Y
UBE2V2P3	ENST00000433562	Y	N
ENSG00000284646	ENST00000641979	Y	N
MTCYBP45	ENST00000435243	Y	N
DISP3	ENST00000294484	Y	Y
ENSG00000285833	ENST00000649975	Y	N
LINC01647	ENST00000453135	Y	N
ENSG00000284708	ENST00000642131	Y	N
FBXO2	ENST00000354287	Y	Y
FBXO44	ENST00000251547	Y	Y
FBXO6	ENST00000376753	Y	Y
MAD2L2	ENST00000376692	Y	Y
DRAXIN	ENST00000294485	Y	Y
AGTRAP	ENST00000314340	Y	Y
C1orf167	ENST00000688073	Y	Y
C1orf167-AS1	ENST00000376620	Y	N
MTHFR	ENST00000376590	Y	Y
CLCN6	ENST00000346436	Y	Y
ENSG00000276470	ENST00000622391	Y	N
ENSG00000278852	ENST00000618496	Y	N
NPPA	ENST00000376480	Y	Y
ENSG00000275915	ENST00000617059	Y	N
NPPB	ENST00000376468	Y	Y
SBF1P2	ENST00000438808	Y	N
RNU5E-1	ENST00000362477	Y	N
ENSG00000285646	ENST00000660618	Y	N
RNU5E-4P	ENST00000364931	Y	N
KIAA2013	ENST00000376572	Y	Y
PLOD1	ENST00000196061	Y	Y
ENSG00000287384	ENST00000660216	Y	N
MFN2	ENST00000235329	Y	Y
ENSG00000270914	ENST00000603287	Y	N
MIIP	ENST00000235332	Y	Y
Y_RNA	ENST00000365591	Y	N
MIR6729	ENST00000618194	Y	N
RN7SL649P	ENST00000496974	Y	N
TNFRSF8	ENST00000263932	Y	Y
RNU6-777P	ENST00000364265	Y	N
RPL23AP89	ENST00000439324	Y	N
ENSG00000285604	ENST00000647616	Y	N
MIR7846	ENST00000622420	Y	N
TNFRSF1B	ENST00000376259	Y	Y
MIR4632	ENST00000584158	Y	N
RPL10P17	ENST00000453852	Y	N
SNORA70	ENST00000517160	Y	N
VPS13D	ENST00000620676	Y	Y
SNORA59A	ENST00000459326	Y	N
LINC02766	ENST00000688646	Y	N
DHRS3	ENST00000616661	Y	Y
RNU6ATAC18P	ENST00000408413	Y	N
MIR6730	ENST00000622213	Y	N
ENSG00000288927	ENST00000688638	Y	N
ENSG00000272482	ENST00000606790	Y	N
AADACL4	ENST00000376221	Y	Y
ENSG00000226166	ENST00000436879	Y	N
AADACL3	ENST00000359318	Y	Y
C1orf158	ENST00000614859	Y	Y
PRAMEF12	ENST00000357726	Y	Y
PRAMEF1	ENST00000332296	Y	Y
LINC01784	ENST00000438401	Y	N
PRAMEF11	ENST00000619922	Y	Y
PRAMEF30P	ENST00000438176	Y	N
HNRNPCL1	ENST00000317869	Y	Y
PRAMEF2	ENST00000240189	Y	Y
PRAMEF4	ENST00000235349	Y	Y
PRAMEF10	ENST00000235347	Y	Y
PRAMEF7	ENST00000330881	Y	N
RNU6-1072P	ENST00000384703	Y	N
PRAMEF29P	ENST00000418187	Y	N
PRAMEF6	ENST00000376189	Y	Y
PRAMEF28P	ENST00000610289	Y	N
PRAMEF27	ENST00000436041	Y	Y
HNRNPCL3	ENST00000617807	Y	Y
PRAMEF25	ENST00000619661	Y	N
PRAMEF34P	ENST00000611860	Y	N
PRAMEF35P	ENST00000458709	Y	N
HNRNPCL2	ENST00000621994	Y	Y
PRAMEF36P	ENST00000448180	Y	N
ENSG00000233336	ENST00000437631	Y	N
PRAMEF26	ENST00000624207	Y	Y
HNRNPCL4	ENST00000323770	Y	Y
PRAMEF9	ENST00000415919	Y	Y
PRAMEF13	ENST00000625019	Y	Y
PRAMEF18	ENST00000624297	Y	N
PRAMEF31P	ENST00000504262	Y	N
PRAMEF5	ENST00000622421	Y	N
PRAMEF32P	ENST00000431596	Y	N
RNU6-771P	ENST00000384780	Y	N
PRAMEF8	ENST00000357367	Y	N
PRAMEF33	ENST00000437300	Y	Y
PRAMEF15	ENST00000376152	Y	Y
ENSG00000228229	ENST00000432559	Y	N
PRAMEF14	ENST00000334600	Y	Y
PRAMEF19	ENST00000376101	Y	N
PRAMEF17	ENST00000376098	Y	Y
PRAMEF20	ENST00000602960	Y	N
LRRC38	ENST00000376085	Y	Y
ENSG00000259961	ENST00000563570	Y	N
BRWD1P1	ENST00000401091	Y	N
PDPN	ENST00000621990	Y	Y
RNA5SP41	ENST00000411020	Y	N
ENSG00000237445	ENST00000441809	Y	N
ENSG00000253085	ENST00000517276	Y	N
PRDM2	ENST00000311066	Y	Y
ENSG00000289380	ENST00000690275	Y	N
RNU6-1265P	ENST00000516342	Y	N
ENSG00000231606	ENST00000449215	Y	N
KAZN-AS1	ENST00000666654	Y	N
KAZN	ENST00000376030	Y	Y
TBCAP2	ENST00000416175	Y	N
ENSG00000287756	ENST00000666715	Y	N
TMEM51-AS1	ENST00000310916	Y	N
TMEM51	ENST00000376008	Y	Y
TMEM51-AS2	ENST00000424792	Y	N
MFFP1	ENST00000400795	Y	N
ZBTB2P1	ENST00000612442	Y	N
FHAD1	ENST00000688493	Y	Y
FHAD1-AS1	ENST00000428747	Y	N
ENSG00000236045	ENST00000439788	Y	N
ENSG00000228140	ENST00000427824	Y	N
EFHD2	ENST00000375980	Y	Y
CTRC	ENST00000375949	Y	Y
CELA2A	ENST00000359621	Y	Y
CELA2B	ENST00000375910	Y	Y
CASP9	ENST00000333868	Y	Y
DNAJC16	ENST00000375847	Y	Y
SCARNA21B	ENST00000516057	Y	N
ENSG00000272510	ENST00000606186	Y	N
AGMAT	ENST00000375826	Y	Y
ENSG00000237301	ENST00000428945	Y	N
CHCHD2P6	ENST00000454346	Y	N
RNU7-179P	ENST00000516608	Y	N
CD24P1	ENST00000422383	Y	N
DDI2	ENST00000480945	Y	Y
RSC1A1	ENST00000345034	Y	Y
ENSG00000271742	ENST00000606262	Y	N
PLEKHM2	ENST00000375799	Y	Y
ENSG00000237938	ENST00000453804	Y	N
SLC25A34	ENST00000294454	Y	Y
SLC25A34-AS1	ENST00000418525	Y	N
TMEM82	ENST00000375782	Y	Y
FBLIM1	ENST00000375766	Y	Y
RPL12P14	ENST00000431782	Y	N
UQCRHL	ENST00000483273	Y	N
ENSG00000178715	ENST00000321418	Y	N
FLJ37453	ENST00000317122	Y	N
SPEN	ENST00000375759	Y	Y
ENSG00000270620	ENST00000604816	Y	N
ZBTB17	ENST00000375743	Y	Y
ENSG00000234607	ENST00000416882	Y	N
ENSG00000231353	ENST00000424379	Y	N
ENSG00000275503	ENST00000613591	Y	N
TBC1D3P6	ENST00000505954	Y	N
SRARP	ENST00000329454	Y	Y
ENSG00000233078	ENST00000437156	Y	N
HSPB7	ENST00000311890	Y	Y
CLCNKA	ENST00000331433	Y	Y
ENSG00000232456	ENST00000447882	Y	N
CLCNKB	ENST00000375679	Y	Y
FAM131C	ENST00000375662	Y	Y
EPHA2	ENST00000358432	Y	Y
ENSG00000227959	ENST00000424774	Y	N
ENSG00000224621	ENST00000426353	Y	N
ARHGEF19-AS1	ENST00000457809	Y	N
ARHGEF19	ENST00000270747	Y	Y
ANO7L1	ENST00000602586	Y	N
ENSG00000288398	ENST00000671994	Y	N
CPLANE2	ENST00000375599	Y	Y
MT1XP1	ENST00000421314	Y	N
FBXO42	ENST00000375592	Y	Y
SZRD1	ENST00000401088	Y	Y
RPL22P3	ENST00000445689	Y	N
SPATA21	ENST00000335496	Y	Y
NECAP2	ENST00000337132	Y	Y
LINC01772	ENST00000457898	Y	N
CROCCP3	ENST00000420820	Y	N
RNU1-1	ENST00000383925	Y	N
ENSG00000261135	ENST00000562878	Y	N
ENSG00000285853	ENST00000648419	Y	N
ENSG00000224174	ENST00000452795	Y	N
LINC01783	ENST00000415386	Y	N
RNU1-6P	ENST00000516290	Y	N
PDE4DIPP8	ENST00000438396	Y	N
NBPF1	ENST00000430580	Y	N
ENSG00000271732	ENST00000607700	Y	N
CROCCP2	ENST00000412962	Y	N
ENSG00000283773	ENST00000639399	Y	N
MST1P2	ENST00000457982	Y	N
ENSG00000282143	ENST00000633763	Y	N
RNU1-3	ENST00000384782	Y	N
ENSG00000280114	ENST00000624828	Y	N
EIF1AXP1	ENST00000419267	Y	N
ESPNP	ENST00000270691	Y	N
ENSG00000279151	ENST00000624517	Y	N
ENSG00000282740	ENST00000633433	Y	N
RNU1-4	ENST00000384659	Y	N
CROCCP4	ENST00000457096	Y	N
MST1L	ENST00000442552	Y	N
ENSG00000223643	ENST00000422345	Y	N
PDE4DIPP9	ENST00000414128	Y	N
MIR3675	ENST00000583661	Y	N
ENSG00000228549	ENST00000660907	Y	N
RNU1-5P	ENST00000362684	Y	N
ENSG00000238142	ENST00000654227	Y	N
ENSG00000235241	ENST00000453917	Y	N
RNU1-2	ENST00000384278	Y	N
ENSG00000272426	ENST00000606899	Y	N
CROCC	ENST00000375541	Y	Y
MFAP2	ENST00000375535	Y	Y
ENSG00000286898	ENST00000654887	Y	N
ENSG00000226526	ENST00000446261	Y	N
ATP13A2	ENST00000326735	Y	Y
ENSG00000288636	ENST00000617114	Y	N
SDHB	ENST00000375499	Y	Y
PADI2	ENST00000375486	Y	Y
LINC02783	ENST00000412427	Y	N
ENSG00000282843	ENST00000635428	Y	N
PADI1	ENST00000375471	Y	Y
PADI3	ENST00000375460	Y	Y
MIR3972	ENST00000582732	Y	N
PADI4	ENST00000375448	Y	Y
PADI6	ENST00000619609	Y	Y
RCC2-AS1	ENST00000439577	Y	N
RCC2	ENST00000375436	Y	Y
ARHGEF10L	ENST00000361221	Y	Y
LINC02810	ENST00000430540	Y	N
ACTL8	ENST00000375406	Y	Y
ENSG00000284653	ENST00000641892	Y	N
LINC01654	ENST00000569711	Y	N
IGSF21	ENST00000251296	Y	Y
ENSG00000280222	ENST00000624418	Y	N
IGSF21-AS1	ENST00000419667	Y	N
ENSG00000225387	ENST00000420211	Y	N
KLHDC7A	ENST00000400664	Y	Y
DYNLL1P3	ENST00000596113	Y	N
ENSG00000225478	ENST00000450125	Y	N
PAX7	ENST00000420770	Y	Y
TAS1R2	ENST00000375371	Y	N
ALDH4A1	ENST00000375341	Y	Y
MIR4695	ENST00000577305	Y	N
MIR1290	ENST00000408735	Y	N
IFFO2	ENST00000455833	Y	Y
ENSG00000272084	ENST00000606379	Y	N
UBR4	ENST00000375254	Y	Y
EMC1-AS1	ENST00000437898	Y	N
EMC1	ENST00000477853	Y	Y
MRTO4	ENST00000330263	Y	Y
ENSG00000286064	ENST00000650657	Y	N
AKR7L	ENST00000457194	Y	N
AKR7A3	ENST00000361640	Y	Y
ENSG00000270728	ENST00000604801	Y	N
AKR7A2	ENST00000235835	Y	Y
RNU6-1099P	ENST00000363533	Y	N
SLC66A1	ENST00000375153	Y	Y
CAPZB	ENST00000264202	Y	Y
RN7SL277P	ENST00000481521	Y	N
RNU4-28P	ENST00000364739	Y	N
ENSG00000235185	ENST00000416470	Y	N
MICOS10	ENST00000322753	Y	Y
MICOS10-NBL1	ENST00000602384	Y	N
ENSG00000226396	ENST00000457263	Y	N
NBL1	ENST00000375136	Y	Y
HTR6	ENST00000289753	Y	Y
TMCO4	ENST00000294543	Y	Y
RNF186	ENST00000375121	Y	Y
ENSG00000235434	ENST00000454736	Y	N
OTUD3	ENST00000375120	Y	Y
PLA2G2E	ENST00000375116	Y	Y
RN7SL304P	ENST00000488028	Y	N
PLA2G2A	ENST00000482011	Y	N
PLA2G5	ENST00000375108	Y	Y
PLA2G2D	ENST00000375105	Y	Y
PLA2G2F	ENST00000375102	Y	Y
ENSG00000227066	ENST00000660429	Y	N
PLA2G2C	ENST00000679259	Y	Y
UBXN10	ENST00000375099	Y	Y
LINC01757	ENST00000435552	Y	N
ENSG00000284710	ENST00000641138	Y	N
VWA5B1	ENST00000289815	Y	Y
ENSG00000226664	ENST00000444923	Y	N
LINC01141	ENST00000426428	Y	N
ENSG00000226487	ENST00000421114	Y	N
