Symbol	Ensembl
RP3-395M20.12	ENST00000644246
TNFRSF14-AS1	ENST00000416860
TNFRSF14	ENST00000355716
RP3-395M20.7	ENST00000456687
RP3-395M20.9	ENST00000424215
PRXL2B	ENST00000419916
MMEL1	ENST00000378412
MMEL1-AS1	ENST00000427302
TTC34	ENST00000401095
ABC14-1188822O7.2	ENST00000648684
ABC14-1188822O7.1	ENST00000638002
RP11-740P5.2	ENST00000457440
RP11-740P5.4	ENST00000664694
RP11-740P5.3	ENST00000429389
RP5-907A6.1	ENST00000642073
ACTRT2	ENST00000378404
PRDM16-DT	ENST00000445317
PRDM16	ENST00000270722
RP1-163G9.2	ENST00000440516
RP11-193J6.1	ENST00000624175
RP11-22L13.1	ENST00000607061
RP4-785P20.3	ENST00000669140
RP4-785P20.2	ENST00000665088
ARHGEF16	ENST00000378378
RP11-168F9.2	ENST00000606489
MEGF6	ENST00000356575
RP11-46F15.2	ENST00000435049
TPRG1L	ENST00000378344
WRAP73	ENST00000270708
TP73	ENST00000378295
TP73-AS3	ENST00000443034
TP73-AS2	ENST00000416554
TP73-AS1	ENST00000637775
CCDC27	ENST00000294600
SMIM1	ENST00000642557
LRRC47	ENST00000378251
RP1-286D6.5	ENST00000607459
CEP104	ENST00000378230
DFFB	ENST00000378209
C1orf174	ENST00000361605
LINC01134	ENST00000442673
LINC01346	ENST00000412674
LINC01345	ENST00000635247
LINC02780	ENST00000642026
RP11-718D19.2	ENST00000642139
EEF1DP6	ENST00000449232
LINC01777	ENST00000635002
RP5-1166F10.2	ENST00000641472
RP1-37J18.1	ENST00000438791
LINC01646	ENST00000634256
AJAP1	ENST00000378191
RP1-77N19.1	ENST00000661891
RP4-603B14.2	ENST00000641254
LINC02781	ENST00000641403
LINC02782	ENST00000443270
RP4-703E10.1	ENST00000641871
RP1-58B11.2	ENST00000641426
RP1-58B11.3	ENST00000641583
RP1-58B11.1	ENST00000564261
RP3-491M17.1	ENST00000637697
RP11-154H17.1	ENST00000637702
NPHP4	ENST00000378156
KCNAB2	ENST00000378097
CHD5	ENST00000262450
RP1-120G22.12	ENST00000484532
RPL22	ENST00000234875
RNF207-AS1	ENST00000455744
RNF207	ENST00000377939
ICMT	ENST00000343813
LINC00337	ENST00000650463
HES3	ENST00000377898
GPR153	ENST00000377893
ACOT7	ENST00000361521
RP1-202O8.3	ENST00000607670
HES2	ENST00000377834
ESPN	ENST00000645284
RP1-202O8.2	ENST00000419034
TNFRSF25	ENST00000356876
PLEKHG5	ENST00000377728
NOL9	ENST00000377705
RP11-58A11.2	ENST00000456162
TAS1R1	ENST00000333172
ZBTB48	ENST00000377674
KLHL21	ENST00000377658
PHF13	ENST00000377648
THAP3	ENST00000307896
DNAJC11	ENST00000377577
LINC01672	ENST00000414210
RP11-242F24.2	ENST00000641757
CAMTA1-DT	ENST00000442889
CAMTA1	ENST00000303635
RP11-312B8.2	ENST00000433407
RP11-334N17.1	ENST00000456701
CAMTA1-IT1	ENST00000427317
CAMTA1-AS2	ENST00000618051
CAMTA1-AS1	ENST00000440032
RP11-338N10.1	ENST00000602640
RP11-338N10.2	ENST00000602973
RP11-338N10.3	ENST00000602916
VAMP3	ENST00000054666
RP3-467L1.6	ENST00000602406
PER3	ENST00000377532
RP3-467L1.4	ENST00000451646
UTS2	ENST00000361696
TNFRSF9	ENST00000377507
RP5-892F13.2	ENST00000603760
PARK7	ENST00000338639
CTA-215D11.6	ENST00000641354
CTA-215D11.5	ENST00000641100
ERRFI1	ENST00000377482
RP11-431K24.1	ENST00000445300
CTA-215D11.4	ENST00000399343
RP11-431K24.2	ENST00000453364
LINC01714	ENST00000670361
RP11-431K24.4	ENST00000424689
SLC45A1	ENST00000471889
RERE	ENST00000400908
RERE-AS1	ENST00000449895
RP5-1115A15.2	ENST00000605785
RPL7P11	ENST00000437586
RPL7P7	ENST00000428803
RP4-633I8.3	ENST00000445254
RP4-633I8.4	ENST00000433876
RPL23AP19	ENST00000436229
ENO1	ENST00000234590
ENO1-AS1	ENST00000442636
HMGN2P17	ENST00000425872
RP3-477M7.5	ENST00000424862
RP3-477M7.6	ENST00000431968
CA6	ENST00000377443
SLC2A7	ENST00000400906
SLC2A5	ENST00000377424
GPR157	ENST00000377411
MIR34AHG	ENST00000635687
LNCTAM34A	ENST00000635271
H6PD	ENST00000377403
SPSB1	ENST00000328089
CTD-2510L9.2	ENST00000641006
LINC02606	ENST00000641940
RNA5SP40	ENST00000517147
RP13-392I16.1	ENST00000441033
SLC25A33	ENST00000302692
RP13-15M17.1	ENST00000435277
TMEM201	ENST00000340381
PIK3CD	ENST00000377346
PIK3CD-AS1	ENST00000377320
RP11-558F24.2	ENST00000426570
PIK3CD-AS2	ENST00000415330
CLSTN1	ENST00000377298
MZT1P1	ENST00000603781
RP11-84A14.7	ENST00000639753
CTNNBIP1	ENST00000377263
RP11-84A14.5	ENST00000454104
RP11-84A14.8	ENST00000648956
LZIC	ENST00000377223
RP11-84A14.4	ENST00000445884
NMNAT1	ENST00000377205
TMEM274P	ENST00000636827
RP11-807G9.2	ENST00000413148
RBP7	ENST00000294435
UBE4B	ENST00000343090
RP11-496H15.2	ENST00000456484
PGAM1P11	ENST00000416729
KIF1B	ENST00000676179
RP4-736L20.4	ENST00000641495
RP4-736L20.5	ENST00000641335
PGD	ENST00000270776
RP4-736L20.3	ENST00000607572
CENPS	ENST00000309048
CENPS-CORT	ENST00000602787
CORT	ENST00000377049
DFFA	ENST00000377038
RP5-1113E3.3	ENST00000424487
PEX14	ENST00000356607
RP4-734G22.4	ENST00000663738
CASZ1	ENST00000377022
RP4-734G22.3	ENST00000606802
HSPE1P24	ENST00000450782
C1orf127	ENST00000377004
CFL1P6	ENST00000400899
TARDBP	ENST00000240185
MASP2	ENST00000400897
SRM	ENST00000376957
EXOSC10	ENST00000376936
RP4-635E18.7	ENST00000452378
EXOSC10-AS1	ENST00000435388
MTOR	ENST00000361445
MTOR-AS1	ENST00000445982
ANGPTL7	ENST00000376819
RPL39P6	ENST00000448289
UBIAD1	ENST00000376810
UBE2V2P3	ENST00000433562
RP4-796F18.3	ENST00000641979
MTCYBP45	ENST00000435243
DISP3	ENST00000294484
RP11-149P14.2	ENST00000649975
LINC01647	ENST00000453135
RP3-330O12.5	ENST00000642131
FBXO2	ENST00000354287
FBXO44	ENST00000251547
FBXO6	ENST00000376753
MAD2L2	ENST00000376692
DRAXIN	ENST00000294485
AGTRAP	ENST00000314340
C1orf167	ENST00000433342
C1orf167-AS1	ENST00000376620
MTHFR	ENST00000376590
CLCN6	ENST00000346436
NPPA	ENST00000376480
NPPB	ENST00000376468
SBF1P2	ENST00000438808
RP5-934G17.7	ENST00000660618
KIAA2013	ENST00000376572
PLOD1	ENST00000196061
RP5-1077B9.6	ENST00000660216
MFN2	ENST00000235329
RP5-1077B9.5	ENST00000603287
MIIP	ENST00000235332
TNFRSF8	ENST00000263932
RPL23AP89	ENST00000439324
RP11-426M1.3	ENST00000647616
TNFRSF1B	ENST00000376259
RPL10P17	ENST00000453852
VPS13D	ENST00000620676
LINC02766	ENST00000416696
DHRS3	ENST00000616661
RP11-474O21.5	ENST00000606790
AADACL4	ENST00000376221
RP11-474O21.2	ENST00000436879
AADACL3	ENST00000359318
C1orf158	ENST00000614859
PRAMEF12	ENST00000357726
PRAMEF1	ENST00000332296
LINC01784	ENST00000438401
PRAMEF30P	ENST00000438176
HNRNPCL1	ENST00000317869
PRAMEF2	ENST00000240189
PRAMEF4	ENST00000235349
PRAMEF10	ENST00000235347
PRAMEF7	ENST00000330881
PRAMEF29P	ENST00000418187
PRAMEF6	ENST00000376189
PRAMEF34P	ENST00000611860
PRAMEF35P	ENST00000458709
HNRNPCL2	ENST00000621994
PRAMEF32P	ENST00000431596
PRAMEF13	ENST00000625019
PRAMEF28P	ENST00000610289
PRAMEF14	ENST00000334600
PRAMEF19	ENST00000376101
PRAMEF17	ENST00000376098
PRAMEF20	ENST00000602960
LRRC38	ENST00000376085
RP4-597A16.2	ENST00000563570
BRWD1P1	ENST00000401091
PDPN	ENST00000621990
RNA5SP41	ENST00000411020
CTA-520D8.2	ENST00000441809
PRDM2	ENST00000413440
RP11-344F13.1	ENST00000449215
KAZN-AS1	ENST00000666654
KAZN	ENST00000376030
TBCAP2	ENST00000416175
RP5-864I18.1	ENST00000666715
TMEM51-AS1	ENST00000310916
TMEM51	ENST00000376008
C1orf195	ENST00000424792
MFFP1	ENST00000400795
ZBTB2P1	ENST00000612442
FHAD1	ENST00000683790
FHAD1-AS1	ENST00000428747
RP3-467K16.7	ENST00000439788
RP3-467K16.4	ENST00000427824
EFHD2	ENST00000375980
CTRC	ENST00000375949
CELA2A	ENST00000359621
CELA2B	ENST00000375910
CASP9	ENST00000333868
DNAJC16	ENST00000375847
RP4-680D5.8	ENST00000606186
AGMAT	ENST00000375826
RP4-680D5.2	ENST00000428945
CHCHD2P6	ENST00000454346
CD24P1	ENST00000422383
DDI2	ENST00000480945
RSC1A1	ENST00000345034
RP4-680D5.9	ENST00000606262
PLEKHM2	ENST00000375799
RP11-288I21.1	ENST00000453804
SLC25A34	ENST00000294454
SLC25A34-AS1	ENST00000418525
TMEM82	ENST00000375782
FBLIM1	ENST00000375766
RPL12P14	ENST00000431782
UQCRHL	ENST00000483273
RP11-169K16.8	ENST00000321418
FLJ37453	ENST00000317122
SPEN	ENST00000375759
RP1-134O19.3	ENST00000604816
ZBTB17	ENST00000375743
RP11-5P18.1	ENST00000416882
RP11-5P18.3	ENST00000424379
RP11-5P18.11	ENST00000613591
TBC1D3P6	ENST00000505954
SRARP	ENST00000329454
RP11-5P18.5	ENST00000437156
HSPB7	ENST00000311890
CLCNKA	ENST00000331433
RP11-5P18.10	ENST00000447882
CLCNKB	ENST00000375679
FAM131C	ENST00000375662
EPHA2	ENST00000358432
RP11-276H7.2	ENST00000424774
RP11-276H7.3	ENST00000426353
ARHGEF19-AS1	ENST00000457809
ARHGEF19	ENST00000270747
ANO7L1	ENST00000602586
RP4-733M16.8	ENST00000671994
CPLANE2	ENST00000375599
MT1XP1	ENST00000421314
FBXO42	ENST00000375592
SZRD1	ENST00000401088
RPL22P3	ENST00000445689
SPATA21	ENST00000335496
NECAP2	ENST00000337132
LINC01772	ENST00000457898
CROCCP3	ENST00000420820
RP4-798A10.7	ENST00000562878
RP4-798A10.8	ENST00000648419
RP4-798A10.4	ENST00000452795
LINC01783	ENST00000415386
PDE4DIPP8	ENST00000438396
NBPF1	ENST00000430580
RP5-1182A14.5	ENST00000607700
CROCCP2	ENST00000412962
RP5-1182A14.8	ENST00000639399
MST1P2	ENST00000457982
RP1-163M9.8	ENST00000633763
RP5-875O13.7	ENST00000624828
EIF1AXP1	ENST00000419267
ESPNP	ENST00000270691
RP1-163M9.7	ENST00000624517
RP5-1182A14.7	ENST00000633433
CROCCP4	ENST00000457096
MST1L	ENST00000442552
RP11-108M9.1	ENST00000422345
PDE4DIPP9	ENST00000414128
RP11-108M9.3	ENST00000660907
RP11-108M9.4	ENST00000671472
RP11-108M9.5	ENST00000453917
RP11-108M9.6	ENST00000606899
CROCC	ENST00000375541
MFAP2	ENST00000375535
RP1-37C10.7	ENST00000654887
RP1-37C10.3	ENST00000446261
ATP13A2	ENST00000326735
RP1-37C10.8	ENST00000617114
SDHB	ENST00000375499
PADI2	ENST00000375486
LINC02783	ENST00000412427
RP11-380J14.4	ENST00000635428
PADI1	ENST00000375471
PADI3	ENST00000375460
PADI4	ENST00000375448
PADI6	ENST00000619609
RCC2-AS1	ENST00000439577
RCC2	ENST00000375436
ARHGEF10L	ENST00000361221
LINC02810	ENST00000430540
ACTL8	ENST00000375406
RP11-658E23.1	ENST00000641892
LINC01654	ENST00000569711
IGSF21	ENST00000251296
RP11-174G17.3	ENST00000624418
IGSF21-AS1	ENST00000419667
RP11-422P22.1	ENST00000420211
KLHDC7A	ENST00000400664
DYNLL1P3	ENST00000596113
RP1-8B22.2	ENST00000450125
PAX7	ENST00000420770
TAS1R2	ENST00000375371
ALDH4A1	ENST00000375341
IFFO2	ENST00000455833
RP5-1126H10.2	ENST00000606379
UBR4	ENST00000375254
EMC1-AS1	ENST00000437898
EMC1	ENST00000477853
MRTO4	ENST00000330263
RP4-657E11.11	ENST00000650657
AKR7L	ENST00000420396
AKR7A3	ENST00000361640
RP4-657E11.10	ENST00000604801
AKR7A2	ENST00000235835
SLC66A1	ENST00000375153
CAPZB	ENST00000264202
RP5-1056L3.1	ENST00000416470
MICOS10	ENST00000322753
MICOS10-NBL1	ENST00000602384
RP5-1056L3.3	ENST00000457263
NBL1	ENST00000375136
HTR6	ENST00000289753
TMCO4	ENST00000294543
RNF186	ENST00000375121
RP11-91K11.2	ENST00000454736
OTUD3	ENST00000375120
PLA2G2E	ENST00000375116
PLA2G2A	ENST00000482011
PLA2G5	ENST00000375108
PLA2G2D	ENST00000375105
PLA2G2F	ENST00000375102
RP3-340N1.2	ENST00000660429
PLA2G2C	ENST00000679259
UBXN10	ENST00000375099
LINC01757	ENST00000435552
RP3-340N1.7	ENST00000641138
VWA5B1	ENST00000289815
RP4-745E8.2	ENST00000444923
LINC01141	ENST00000426428
RP4-749H3.2	ENST00000421114
RP4-749H3.4	ENST00000641552
RP4-749H3.3	ENST00000641097
CAMK2N1	ENST00000375078
MUL1	ENST00000264198
RPS4XP4	ENST00000443195
FAM43B	ENST00000332947
CDA	ENST00000375071
PINK1	ENST00000321556
PINK1-AS	ENST00000451424
DDOST	ENST00000602624
KIF17	ENST00000400463
RP5-930J4.5	ENST00000440621
SH2D5	ENST00000444387
RP5-930J4.2	ENST00000436642
HP1BP3	ENST00000438032
EIF4G3	ENST00000400422
RPS15AP6	ENST00000420703
RP11-487E1.2	ENST00000431514
HSPE1P27	ENST00000430808
RP3-329E20.3	ENST00000669329
ECE1	ENST00000374893
RP3-329E20.2	ENST00000416959
ECE1-AS1	ENST00000449034
PPP1R11P1	ENST00000486095
PDE4DIPP10	ENST00000443127
RP11-293F5.1	ENST00000444647
NBPF2P	ENST00000453025
HS6ST1P1	ENST00000481504
CROCCP5	ENST00000436658
NBPF3	ENST00000318249
PFN1P10	ENST00000455962
ALPL	ENST00000374840
LINC02596	ENST00000457706
RAP1GAP	ENST00000374765
USP48	ENST00000308271
RP11-132G19.3	ENST00000434488
LDLRAD2	ENST00000344642
HSPG2	ENST00000374695
RP11-26H16.1	ENST00000423231
RP11-26H16.4	ENST00000636906
CELA3B	ENST00000337107
RP1-224A6.11	ENST00000650360
CELA3A	ENST00000290122
LINC01635	ENST00000455966
LINC00339	ENST00000635675
CDC42-AS1	ENST00000649486
RP1-224A6.10	ENST00000642137
CDC42	ENST00000656825
CDC42-IT1	ENST00000431803
MPHOSPH6P1	ENST00000604049
WNT4	ENST00000290167
RP1-163O16.1	ENST00000648968
PPIAP34	ENST00000487348
RP11-415K20.2	ENST00000624125
ZBTB40	ENST00000375647
ZBTB40-IT1	ENST00000438551
EPHA8	ENST00000166244
C1QA	ENST00000374642
C1QC	ENST00000374640
C1QB	ENST00000509305
EPHB2	ENST00000374630
RP11-69E9.1	ENST00000419644
LACTBL1	ENST00000426928
TEX46	ENST00000566855
KDM1A	ENST00000400181
RP1-184J9.2	ENST00000427154
LUZP1	ENST00000418342
RP5-979D14.1	ENST00000450968
HTR1D	ENST00000374619
RP5-1057J7.1	ENST00000442089
LINC01355	ENST00000655082
RP5-1057J7.8	ENST00000641772
HNRNPR	ENST00000302271
ZNF436	ENST00000314011
ZNF436-AS1	ENST00000458053
RP5-1057J7.7	ENST00000605350
TCEA3	ENST00000450454
RP4-654C18.1	ENST00000445848
ASAP3	ENST00000336689
E2F2	ENST00000361729
RP1-150O5.3	ENST00000451217
ID3	ENST00000374561
RP1-150O5.4	ENST00000648225
MDS2	ENST00000477916
RP11-223J15.2	ENST00000451300
RPL11	ENST00000643754
ELOA-AS1	ENST00000655402
ELOA	ENST00000418390
PITHD1	ENST00000246151
LYPLA2	ENST00000374514
GALE	ENST00000617979
HMGCL	ENST00000374490
FUCA1	ENST00000374479
CNR2	ENST00000374472
BTBD6P1	ENST00000412176
RP11-4M23.3	ENST00000411815
H3P1	ENST00000421430
PNRC2	ENST00000334351
SRSF10	ENST00000492112
RP11-4M23.7	ENST00000442164
RP11-293P20.2	ENST00000439239
MYOM3	ENST00000374434
MYOM3-AS1	ENST00000429191
IL22RA1	ENST00000270800
IFNLR1	ENST00000327535
LINC02800	ENST00000439059
GRHL3-AS1	ENST00000437965
GRHL3	ENST00000361548
STPG1	ENST00000337248
NIPAL3	ENST00000374399
RCAN3AS	ENST00000651630
RCAN3	ENST00000374395
NCMAP-DT	ENST00000577528
NCMAP	ENST00000374392
RP11-496D1.2	ENST00000443086
SRRM1	ENST00000323848
RP11-373M8.2	ENST00000641176
CLIC4	ENST00000374379
RUNX3	ENST00000308873
RUNX3-AS1	ENST00000456316
RP11-84D1.2	ENST00000568143
LINC02793	ENST00000648363
RP4-799D16.1	ENST00000424084
IFITM3P7	ENST00000413189
RP4-706G24.1	ENST00000455902
SYF2	ENST00000236273
RP3-465N24.7	ENST00000641729
RP3-465N24.8	ENST00000641059
RSRP1	ENST00000243189
RP3-465N24.6	ENST00000607698
RP3-465N24.5	ENST00000566714
RHD	ENST00000328664
SDHDP6	ENST00000414693
RP11-335G20.7	ENST00000570165
TMEM50A	ENST00000374358
RHCE	ENST00000349320
RP3-469D22.1	ENST00000419297
MACO1	ENST00000374343
LDLRAP1	ENST00000374338
RP11-70P17.1	ENST00000412797
MAN1C1	ENST00000374332
RP1-187B23.1	ENST00000436991
SELENON	ENST00000361547
RP1-317E23.6	ENST00000527604
RP1-317E23.3	ENST00000442055
MTFR1L	ENST00000374303
RP1-317E23.7	ENST00000606617
AUNIP	ENST00000374298
RP1-125I3.2	ENST00000455431
PAQR7	ENST00000675840
SNRPFP2	ENST00000440710
RP1-125I3.4	ENST00000453780
STMN1	ENST00000455785
PAFAH2	ENST00000374282
EXTL1	ENST00000374280
SLC30A2	ENST00000374276
RP11-96L14.9	ENST00000640097
TRIM63	ENST00000374272
PDIK1L	ENST00000374269
FAM110D	ENST00000374268
C1orf232	ENST00000634842
ZNF593	ENST00000374266
ZNF593OS	ENST00000648649
CNKSR1	ENST00000361530
CATSPER4	ENST00000456354
ZPLD2P	ENST00000428812
RP11-231P20.6	ENST00000622820
CEP85	ENST00000451429
RP11-231P20.5	ENST00000603670
SH3BGRL3	ENST00000270792
UBXN11	ENST00000374221
CD52	ENST00000374213
CRYBG2	ENST00000308182
RP11-569G9.7	ENST00000434718
ZNF683	ENST00000349618
LIN28A	ENST00000326279
DHDDS	ENST00000236342
RP3-476K8.4	ENST00000446498
DHDDS-AS1	ENST00000656565
HMGN2	ENST00000361427
DPPA2P2	ENST00000418220
RPS6KA1	ENST00000374168
RP11-492M19.3	ENST00000428860
RP4-785J1.1	ENST00000443847
RP5-968P14.2	ENST00000569378
ARID1A	ENST00000324856
PIGV	ENST00000674202
RP1-50O24.8	ENST00000656287
ZDHHC18	ENST00000374142
SFN	ENST00000339276
GPN2	ENST00000374135
RP1-50O24.6	ENST00000448791
GPATCH3	ENST00000361720
NR0B2	ENST00000254227
NUDC	ENST00000321265
KDF1	ENST00000320567
RPL12P13	ENST00000310055
RPL32P6	ENST00000455684
OSTCP2	ENST00000437956
TRNP1	ENST00000522111
TENT5B	ENST00000289166
SLC9A1	ENST00000263980
RP11-40H20.5	ENST00000457038
CHCHD3P3	ENST00000446783
NPM1P39	ENST00000449818
SNRPEP7	ENST00000438350
RP11-40H20.4	ENST00000425205
WDTC1	ENST00000319394
RP11-4K3__A.3	ENST00000428741
TMEM222	ENST00000374076
ACTG1P20	ENST00000486001
SYTL1	ENST00000616558
MAP3K6	ENST00000357582
FCN3	ENST00000270879
CD164L2	ENST00000374030
RP1-144C9.2	ENST00000443746
GPR3	ENST00000374024
WASF2	ENST00000618852
RP4-752I6.1	ENST00000492975
RP1-159A19.4	ENST00000443579
AHDC1	ENST00000673934
FGR	ENST00000374005
RP1-159A19.3	ENST00000433132
LINC02574	ENST00000681370
IFI6	ENST00000361157
RP11-288L9.4	ENST00000629895
CHMP1AP1	ENST00000445563
RP3-426I6.8	ENST00000662905
FAM76A	ENST00000373954
RP3-426I6.2	ENST00000446554
RPEP3	ENST00000425462
STX12	ENST00000373943
RP3-426I6.5	ENST00000602607
RP3-426I6.6	ENST00000602843
RP3-426I6.7	ENST00000660844
PPP1R8	ENST00000311772
THEMIS2	ENST00000373921
RPA2	ENST00000373912
SMPDL3B	ENST00000373894
RP11-460I13.2	ENST00000448015
XKR8	ENST00000373884
EYA3	ENST00000373871
RP11-460I13.6	ENST00000426041
SPCS2P4	ENST00000436160
RP5-1053E7.2	ENST00000443484
RP5-1053E7.3	ENST00000399029
PTAFR	ENST00000373857
DNAJC8	ENST00000263697
ATP5IF1	ENST00000335514
RP5-1092A3.4	ENST00000604716
RP5-1092A3.5	ENST00000605846
SESN2	ENST00000253063
MED18	ENST00000373842
PHACTR4	ENST00000373839
RP1-308E4.1	ENST00000438601
SNHG3	ENST00000413987
RCC1	ENST00000683442
PRDX3P2	ENST00000447051
RP4-669K10.8	ENST00000624273
TRNAU1AP	ENST00000373830
SNHG12	ENST00000648127
RAB42	ENST00000465518
TAF12	ENST00000373824
LINC01715	ENST00000420776
RNU11	ENST00000602813
GMEB1	ENST00000373816
YTHDF2	ENST00000373812
OPRD1	ENST00000234961
RP1-212P9.3	ENST00000418471
EPB41	ENST00000343067
RP4-604A21.1	ENST00000425821
TMEM200B	ENST00000521452
RP11-242O24.3	ENST00000413004
SRSF4	ENST00000373795
MECR	ENST00000263702
RP11-467D18.2	ENST00000427046
PTPRU	ENST00000373779
LINC01756	ENST00000417651
RP11-810H18.1	ENST00000515851
RP4-656G21.1	ENST00000422638
RP11-179G8.2	ENST00000641702
RP11-179G8.1	ENST00000603857
LINC01648	ENST00000445180
RP5-893G23.1	ENST00000441046
RP3-357I16.1	ENST00000442774
RP4-591L5.1	ENST00000427319
RP4-591L5.2	ENST00000420354
MATN1	ENST00000373765
MATN1-AS1	ENST00000414532
RP5-1166H10.4	ENST00000655364
LAPTM5	ENST00000294507
RP5-1125N11.1	ENST00000440358
LINC01778	ENST00000671661
RP1-65J11.5	ENST00000431202
SDC3	ENST00000339394
PUM1	ENST00000426105
RP11-201O14.1	ENST00000417263
RP11-201O14.2	ENST00000429616
SELENOWP1	ENST00000322792
RP11-490K7.1	ENST00000441274
NKAIN1	ENST00000373736
SNRNP40	ENST00000263694
RP11-490K7.4	ENST00000452686
ZCCHC17	ENST00000344147
RP11-266K22.2	ENST00000430143
FABP3	ENST00000373713
SERINC2	ENST00000373709
RP11-439L8.2	ENST00000401075
LINC01226	ENST00000640226
RP11-73M7.1	ENST00000435872
TINAGL1	ENST00000271064
HCRTR1	ENST00000403528
PEF1	ENST00000373703
PEF1-AS1	ENST00000609549
RP11-73M7.9	ENST00000581333
COL16A1	ENST00000373672
ADGRB2	ENST00000373658
RP11-84A19.3	ENST00000527035
SPOCD1	ENST00000360482
RP11-84A19.2	ENST00000453837
RP11-84A19.4	ENST00000602889
PTP4A2	ENST00000647444
RP4-534N18.5	ENST00000679970
RP4-534N18.2	ENST00000447478
RP4-534N18.4	ENST00000641788
KHDRBS1	ENST00000327300
RP11-277A4.4	ENST00000366152
