UCSC	Symbol	Refseq	Ensembl
uc001bdm.3	PINK1	NM_032409	ENST00000321556
uc001bdo.1	DDOST	NM_005216	ENST00000375048
uc001bdr.4	KIF17	NM_020816	ENST00000247986
uc009vpy.1	SH2D5	NM_001103161	ENST00000375031
uc001bdw.1	HP1BP3	NM_016287	ENST00000312239
uc001bef.3	EIF4G3	NM_001198801	ENST00000602326
uc001bei.2	ECE1	NM_001113349	ENST00000415912
uc001beo.2	LOC100506801	NR_038404	ENST00000449034
uc001ber.4	NBPF3	NM_032264	ENST00000318220
uc001bet.3	ALPL	NM_000478	ENST00000374840
uc001bew.3	RAP1GAP	NM_001145658	ENST00000290101
uc001bfb.3	USP48	NM_032236	ENST00000400301
uc001bfg.1	LDLRAD2	NM_001013693	ENST00000344642
uc001bfj.3	HSPG2	NM_005529	ENST00000374695
uc001bfk.3	CELA3B	NM_007352	ENST00000337107
uc001bfm.4	LINC00339	NR_023918	ENST00000416769
uc001bfr.3	CDC42	NM_001791	ENST00000400259
uc001bfs.4	WNT4	NM_030761	ENST00000290167
uc001bfu.2	ZBTB40	NM_014870	ENST00000404138
uc001bfx.1	EPHA8	NM_020526	ENST00000166244
uc001bfy.3	C1QA	NM_015991	ENST00000374642
uc001bga.4	C1QC	NM_001114101	ENST00000374639
uc001bgd.3	C1QB	NM_000491	ENST00000314933
uc001bge.3	EPHB2	NM_004442	ENST00000400191
uc021oib.1	MIR4684	NR_039832	ENST00000581646
uc021oic.1	MIR4253	NR_036214	ENST00000581187
uc001bgh.1	LOC729059	NM_001242521	ENST00000566855
uc001bgj.2	KDM1A	NM_001009999	ENST00000400181
uc021oid.1	MIR3115	NR_036057	ENST00000577915
uc010odv.1	LUZP1	NM_001142546	ENST00000302291
uc001bgn.3	HTR1D	NM_000864	ENST00000374619
uc001bgp.4	HNRNPR	NM_001102398	ENST00000374616
uc001bgt.3	ZNF436	NM_030634	ENST00000314011
uc001bgw.3	C1orf213	NR_033690	ENST00000335648
uc021oig.1	TCEA3	NM_003196	ENST00000450454
uc001bha.2	ASAP3	NM_017707	ENST00000336689
uc001bhe.2	E2F2	NM_004091	ENST00000361729
uc001bhh.4	ID3	NM_002167	ENST00000374561
uc001bhk.3	RPL11	NM_000975	ENST00000374550
uc001bho.3	TCEB3	NM_003198	ENST00000418390
uc001bhp.2	LOC100506963	NR_038280	ENST00000427796
uc001bhq.3	PITHD1	NM_020362	ENST00000246151
uc001bht.3	LYPLA2	NM_007260	ENST00000374514
uc009vqo.1	GALE	NM_001127621	ENST00000374497
uc001bib.3	HMGCL	NM_000191	ENST00000374490
uc001bie.3	FUCA1	NM_000147	ENST00000374479
uc001bif.3	CNR2	NM_001841	ENST00000374472
uc021oik.1	MIR378F	NR_039615	ENST00000578143
uc001big.3	PNRC2	NM_017761	ENST00000334351
uc021oir.1	SRSF10	NM_054016	ENST00000343255
uc001bin.4	MYOM3	NM_152372	ENST00000374434
uc001biq.2	IL22RA1	NM_021258	ENST00000270800
uc001bis.3	IFNLR1	NM_170743	ENST00000327535
uc010oei.1	LOC284632	NR_027087	ENST00000439059
uc021oiw.1	GRHL3	NM_198174	ENST00000350501
uc001bjc.3	STPG1	NM_001199013	ENST00000468303
uc001bjh.3	NIPAL3	NM_020448	ENST00000003912
uc021oiz.1	RCAN3AS	NR_045408	n/a
uc001bjj.3	RCAN3	NM_013441	ENST00000374395
uc001bjk.2	NCMAP	NM_001010980	ENST00000374392
uc001bjm.3	SRRM1	NM_005839	ENST00000323848
uc001bjo.2	CLIC4	NM_013943	ENST00000374379
uc001bjq.3	RUNX3	NM_004350	ENST00000308873
uc001bjt.1	SYF2	NM_015484	ENST00000236273
uc001bjw.3	C1orf63	NM_020317	ENST00000243189
uc001bjz.3	RHD	NM_016124	ENST00000328664
uc001bke.3	TMEM50A	NM_014313	ENST00000374358
uc001bkf.3	RHCE	NM_020485	ENST00000294413
uc001bkk.3	TMEM57	NM_018202	ENST00000374343
uc001bkl.4	LDLRAP1	NM_015627	ENST00000374338
uc001bkm.2	MAN1C1	NM_020379	ENST00000374332
uc021ojl.1	SEPN1	NM_206926	ENST00000361547
uc001bkq.4	MTFR1L	NM_001099625	ENST00000374303
uc010oeu.1	LOC646471	NR_024498	ENST00000536896
uc001bkw.1	AUNIP	NM_024037	ENST00000374298
uc001bkx.3	PAQR7	NM_178422	ENST00000374296
uc010oev.2	STMN1	NM_001145454	ENST00000513116
uc001bld.4	PAFAH2	NM_000437	ENST00000374282
uc001blf.3	EXTL1	NM_004455	ENST00000374280
uc001blg.1	SLC30A2	NM_001004434	ENST00000374276
uc001bli.2	TRIM63	NM_032588	ENST00000374272
uc009vsb.3	PDIK1L	NM_152835	ENST00000374271
uc001blk.3	FAM110D	NM_024869	ENST00000374268
uc001bll.4	ZNF593	NM_015871	ENST00000374266
uc001blm.4	CNKSR1	NM_006314	ENST00000361530
uc010oez.2	CATSPER4	NM_198137	ENST00000456354
uc001bls.1	CEP85	NM_022778	ENST00000252992
uc001blu.3	SH3BGRL3	NM_031286	ENST00000270792
uc001blw.3	UBXN11	NM_183008	ENST00000374221
uc001bmc.3	CD52	NM_001803	ENST00000374213
uc001bmd.4	AIM1L	NM_001039775	ENST00000527815
uc009vsj.1	ZNF683	NM_173574	ENST00000374204
uc001bmj.3	LIN28A	NM_024674	ENST00000326279
uc001bmk.3	DHDDS	NM_024887	ENST00000434391
uc001bmp.4	HMGN2	NM_005517	ENST00000361427
uc001bms.1	RPS6KA1	NM_001006665	ENST00000374163
uc021ojp.1	MIR1976	NR_031740	ENST00000459548
uc001bmv.1	ARID1A	NM_006015	ENST00000324856
uc001bmz.3	PIGV	NM_017837	ENST00000078527
uc001bnb.3	ZDHHC18	NM_032283	ENST00000374142
uc001bnc.1	SFN	NM_006142	ENST00000339276
uc001bnd.1	GPN2	NM_018066	ENST00000374135
uc001bne.3	GPATCH3	NM_022078	ENST00000361720
uc001bnf.3	NR0B2	NM_021969	ENST00000254227
uc001bng.2	NUDC	NM_006600	ENST00000321265
uc001bni.2	C1orf172	NM_152365	ENST00000320567
uc001bnj.4	TRNP1	NM_001013642	ENST00000522111
uc010ofj.2	FAM46B	NM_052943	ENST00000289166
uc001bnm.4	SLC9A1	NM_003047	ENST00000263980
uc009vst.3	WDTC1	NM_001276252	ENST00000319394
uc001bnr.4	TMEM222	NM_032125	ENST00000374076
uc021oju.1	LOC644961	NR_033926	ENST00000486001
uc001bnw.2	SYTL1	NM_001193308	ENST00000483926
uc001bny.1	MAP3K6	NM_004672	ENST00000374040
uc001boa.3	FCN3	NM_003665	ENST00000270879
uc001boc.3	CD164L2	NM_207397	ENST00000374027
uc001bod.4	GPR3	NM_005281	ENST00000374024
uc001bof.2	WASF2	NM_006990	ENST00000430629
uc009vsy.3	AHDC1	NM_001029882	ENST00000374011
uc001bom.3	FGR	NM_005248	ENST00000374005
uc001bon.1	IFI6	NM_022873	ENST00000361157
uc001bor.3	FAM76A	NM_001143912	ENST00000373954
uc001bou.4	STX12	NM_177424	ENST00000373943
uc001bov.2	PPP1R8	NM_014110	ENST00000311772
uc001boy.1	SCARNA1	NR_002997	ENST00000517138
uc001bpc.4	THEMIS2	NM_001105556	ENST00000373921
uc001bpe.1	RPA2	NM_002946	ENST00000373912
uc001bpg.3	SMPDL3B	NM_014474	ENST00000373894
uc001bph.1	XKR8	NM_018053	ENST00000373884
uc001bpi.2	EYA3	NM_001990	ENST00000373871
uc001bpl.3	PTAFR	NM_000952	ENST00000373857
uc001bpn.3	DNAJC8	NM_014280	ENST00000263697
uc001bpq.3	ATPIF1	NM_016311	ENST00000497986
uc001bps.3	SESN2	NM_031459	ENST00000253063
uc009vtg.3	MED18	NM_001127350	ENST00000373842
uc001bpy.3	PHACTR4	NM_023923	ENST00000373836
uc001bqf.2	RCC1	NM_001048194	ENST00000398958
uc001bqd.3	SNHG3	NR_036473	ENST00000413987
uc001bqi.3	TRNAU1AP	NM_017846	ENST00000373830
uc001bqq.1	SNORD99	NR_003077	ENST00000408612
uc001bqv.3	RAB42	NM_001193532	ENST00000373826
uc001bqy.3	TAF12	NM_005644	ENST00000373824
uc009vtj.1	RNU11	NR_004407	ENST00000387069
uc001bra.3	GMEB1	NM_006582	ENST00000373816
uc021okf.1	YTHDF2	NM_001173128	ENST00000542507
uc001brf.1	OPRD1	NM_000911	ENST00000234961
uc001brm.2	EPB41	NM_001166005	ENST00000343067
uc001brn.2	TMEM200B	NM_001003682	ENST00000521452
uc001bro.3	SRSF4	NM_005626	ENST00000373795
uc001brq.1	MECR	NM_016011	ENST00000373791
uc001bru.3	PTPRU	NM_005704	ENST00000373779
uc001brz.3	MATN1	NM_002379	ENST00000373765
uc001bsb.1	MATN1-AS1	NR_034182	ENST00000454613
uc001bsc.2	LAPTM5	NM_006762	ENST00000294507
uc021okj.1	MIR4420	NR_039616	ENST00000583944
uc001bse.2	SDC3	NM_014654	ENST00000336798
uc001bsh.1	PUM1	NM_001020658	ENST00000373747
uc021okk.1	SNORD103A	NR_033295	ENST00000363284
uc021okl.1	SNORD103A	NR_033295	ENST00000365237
uc001bsl.1	SNORD85	NR_003066	ENST00000363311
uc010ogd.2	NKAIN1	NM_024522	ENST00000373736
uc001bso.3	SNRNP40	NM_004814	ENST00000263694
uc001bsp.1	ZCCHC17	NM_016505	ENST00000344147
uc001bss.1	FABP3	NM_004102	ENST00000373713
uc010ogh.2	SERINC2	NM_018565	ENST00000491976
uc021okn.1	LOC149086	NR_034112	ENST00000418618
uc001bsy.1	LOC284551	NR_027085	ENST00000412068
uc001bta.3	TINAGL1	NM_022164	ENST00000271064
uc009vtx.2	HCRTR1	NM_001525	ENST00000403528
uc001bth.2	PEF1	NM_012392	ENST00000373703
uc001btk.1	COL16A1	NM_001856	ENST00000373672
uc001btn.3	BAI2	NM_001703	ENST00000373658
uc021okr.1	MIR4254	NR_036216	ENST00000581063
uc001bts.1	SPOCD1	NM_144569	ENST00000360482
uc001bty.2	PTP4A2	NM_080391	ENST00000344035
uc001bub.4	KHDRBS1	NM_006559	ENST00000327300
uc010ogv.2	TMEM39B	NM_018056	ENST00000336294
uc001bug.3	KPNA6	NM_012316	ENST00000373625
uc001bui.3	TXLNA	NM_175852	ENST00000373610
uc001bul.1	CCDC28B	NM_024296	ENST00000373602
uc001bum.2	IQCC	NM_018134	ENST00000537469
uc001bun.2	DCDC2B	NM_001099434	ENST00000409358
