Gene Symbol	Transcript	Source	Matches Old Trx 
ACADVL	NM_000018	MANE	Y
ACAN	NM_001369268	MANE	N
ACAP1	NM_014716	MANE	Y
ACAP2	NM_012287	MANE	Y
ACAP3	NM_030649	MANE	Y
ACAT1	NM_000019	MANE	Y
ACAT2	NM_005891	MANE	Y
ACBD3	NM_022735	MANE	Y
ACBD3-AS1	NR_146443	LongestTrx	N
ACBD4	NM_001135705	MANE	N
ACBD5	NM_145698	MANE	Y
ACBD6	NM_032360	MANE	Y
ACBD7	NM_001039844	MANE	Y
ACBD7-DCLRE1CP1	NR_144471	LongestTrx	N
ACCS	NM_032592	MANE	N
ACCSL	NM_001031854	MANE	Y
ACD	NM_001082486	MANE	Y
ACE	NM_000789	MANE	Y
ACE2	NM_001371415	MANE	N
ACER1	NM_133492	MANE	Y
ACER2	NM_001010887	MANE	Y
ACER3	NM_018367	MANE	Y
ACHE	NM_000665	MANE	N
ACIN1	NM_001386863	MANE	N
ACKR1	NM_002036	MANE	N
ACKR2	NM_001296	MANE	Y
ACKR3	NM_020311	MANE	Y
ACKR4	NM_016557	MANE	Y
ACLY	NM_001096	MANE	Y
ACMSD	NM_138326	MANE	Y
ACO1	NM_002197	MANE	Y
ACO2	NM_001098	MANE	Y
ACOD1	NM_001258406	MANE	Y
ACOT1	NM_001037161	MANE	N
ACOT11	NM_147161	MANE	Y
ACOT12	NM_130767	MANE	Y
ACOT13	NM_018473	MANE	Y
ACOT2	NM_006821	MANE	Y
ACOT4	NM_152331	MANE	Y
ACOT6	NM_001365788	MANE	N
ACOT7	NM_007274	MANE	Y
ACOT8	NM_005469	MANE	Y
ACOT9	NM_001037171	MANE	Y
ACOX1	NM_004035	MANE	Y
ACOX2	NM_003500	MANE	Y
ACOX3	NM_003501	MANE	Y
ACOXL	NM_001142807	MANE	Y
ACOXL-AS1	NR_122074	LongestTrx	N
ACP1	NM_004300	MANE	Y
ACP2	NM_001610	MANE	Y
ACP3	NM_001099	MANE	N
ACP4	NM_033068	MANE	Y
ACP5	NM_001611	MANE	N
ACP6	NM_016361	MANE	Y
ACP7	NM_001004318	MANE	Y
ACR	NM_001097	MANE	Y
ACRBP	NM_032489	MANE	Y
ACRV1	NM_001612	MANE	Y
ACSBG1	NM_015162	MANE	Y
ACSBG2	NM_030924	MANE	Y
ACSF2	NM_025149	MANE	Y
ACSF3	NM_001243279	MANE	N
ACSL1	NM_001995	MANE	Y
ACSL3	NM_004457	MANE	N
ACSL4	NM_001318510	MANE	N
ACSL5	NM_203379	MANE	N
ACSL6	NM_001009185	MANE	Y
ACSM1	NM_001318890	MANE	N
ACSM2A	NM_001308172	MANE	N
ACSM2B	NM_001105069	MANE	Y
ACSM3	NM_005622	MANE	Y
ACSM4	NM_001080454	UniProt	Y
ACSM5	NM_017888	MANE	Y
ACSM6	NM_207321	UniProt	Y
ACSS1	NM_032501	MANE	Y
ACSS2	NM_018677	MANE	N
ACSS3	NM_024560	MANE	Y
ACTA1	NM_001100	MANE	Y
ACTA2	NM_001613	MANE	Y
ACTA2-AS1	NR_125373	LongestTrx	N
ACTB	NM_001101	MANE	Y
ACTBL2	NM_001017992	MANE	Y
ACTC1	NM_005159	MANE	Y
ACTE1P	NR_038862	LongestTrx	Y
ACTG1	NM_001614	MANE	Y
ACTG1P17	NR_036446	LongestTrx	Y
ACTG1P20	NR_033926	LongestTrx	Y
ACTG1P25	NR_002929	LongestTrx	Y
ACTG1P4	NR_024438	LongestTrx	N
ACTG2	NM_001615	MANE	Y
ACTL10	NM_001024675	MANE	Y
ACTL6A	NM_004301	MANE	Y
ACTL6B	NM_016188	MANE	Y
ACTL7A	NM_006687	MANE	Y
ACTL7B	NM_006686	MANE	Y
ACTL8	NM_030812	MANE	Y
ACTL9	NM_178525	MANE	Y
ACTN1	NM_001130004	MANE	Y
ACTN1-DT	NR_073422	LongestTrx	Y
ACTN2	NM_001103	MANE	Y
ACTN3	NM_001104	MANE	N
ACTN4	NM_004924	MANE	Y
ACTR10	NM_018477	MANE	Y
ACTR1A	NM_005736	MANE	Y
ACTR1B	NM_005735	MANE	Y
ACTR2	NM_005722	MANE	N
ACTR3	NM_005721	MANE	Y
ACTR3-AS1	NR_110174	LongestTrx	N
ACTR3B	NM_020445	MANE	Y
ACTR3BP2	NR_027714	LongestTrx	Y
ACTR3BP5	NR_045000	LongestTrx	Y
ACTR3C	NM_001164458	MANE	Y
ACTR5	NM_024855	MANE	Y
ACTR6	NM_022496	MANE	Y
ACTR8	NM_022899	MANE	Y
ACTRT1	NM_138289	MANE	Y
ACTRT2	NM_080431	MANE	Y
ACTRT3	NM_032487	MANE	Y
ACVR1	NM_001111067	MANE	Y
ACVR1B	NM_004302	MANE	N
ACVR1C	NM_145259	MANE	Y
ACVR2A	NM_001616	MANE	Y
ACVR2B	NM_001106	MANE	Y
ACVR2B-AS1	NR_028389	LongestTrx	Y
ACVRL1	NM_000020	MANE	N
ACY1	NM_000666	MANE	N
ACY3	NM_080658	MANE	Y
ACYP1	NM_001107	MANE	Y
ACYP2	NM_001320586	MANE	N
ADA	NM_000022	MANE	Y
ADA2	NM_001282225	MANE	N
ADAD1	NM_139243	MANE	N
ADAD2	NM_001145400	MANE	Y
ADAL	NM_001324366	MANE	N
ADAM10	NM_001110	MANE	Y
ADAM11	NM_002390	MANE	Y
ADAM12	NM_001288973	MANE	N
ADAM15	NM_207197	MANE	Y
ADAM17	NM_003183	MANE	Y
ADAM18	NM_014237	MANE	Y
ADAM19	NM_033274	MANE	Y
ADAM1A	NR_036636	LongestTrx	Y
ADAM2	NM_001464	MANE	Y
ADAM20	NM_003814	MANE	Y
ADAM20P1	NR_037933	LongestTrx	Y
ADAM21	NM_003813	MANE	Y
ADAM21P1	NR_003951	LongestTrx	Y
ADAM22	NM_004194	UniProt	N
ADAM23	NM_003812	MANE	Y
ADAM28	NM_014265	MANE	Y
ADAM29	NM_014269	MANE	N
ADAM30	NM_021794	MANE	Y
ADAM32	NM_145004	MANE	Y
ADAM33	NM_025220	MANE	Y
ADAM3A	NR_024106	LongestTrx	N
ADAM3B	NR_144553	LongestTrx	N
ADAM5	NR_001448	LongestTrx	Y
ADAM6	NR_002224	LongestTrx	Y
ADAM7	NM_003817	MANE	Y
ADAM8	NM_001109	MANE	Y
ADAM9	NM_003816	MANE	Y
ADAMDEC1	NM_014479	UniProt	Y
ADAMTS1	NM_006988	MANE	Y
ADAMTS10	NM_030957	MANE	Y
ADAMTS12	NM_030955	MANE	Y
ADAMTS13	NM_139027	MANE	N
ADAMTS14	NM_080722	MANE	N
ADAMTS15	NM_139055	MANE	Y
ADAMTS16	NM_139056	MANE	Y
ADAMTS17	NM_139057	MANE	Y
ADAMTS18	NM_199355	MANE	Y
ADAMTS19	NM_133638	MANE	Y
ADAMTS19-AS1	NR_125748	LongestTrx	N
ADAMTS2	NM_014244	MANE	Y
ADAMTS20	NM_025003	MANE	Y
ADAMTS3	NM_014243	MANE	Y
ADAMTS4	NM_005099	MANE	Y
ADAMTS5	NM_007038	MANE	Y
ADAMTS6	NM_197941	MANE	Y
ADAMTS7	NM_014272	MANE	Y
ADAMTS7P1	NR_045529	LongestTrx	Y
ADAMTS8	NM_007037	MANE	Y
ADAMTS9	NM_182920	MANE	Y
ADAMTS9-AS1	NR_110151	LongestTrx	N
ADAMTS9-AS2	NR_038264	LongestTrx	Y
ADAMTSL1	NM_001040272	MANE	Y
ADAMTSL2	NM_014694	MANE	Y
ADAMTSL3	NM_207517	MANE	Y
ADAMTSL4	NM_019032	MANE	Y
ADAMTSL4-AS1	NR_104133	LongestTrx	N
ADAMTSL5	NM_213604	MANE	Y
ADAP1	NM_006869	MANE	Y
ADAP2	NM_018404	MANE	Y
ADAR	NM_001111	MANE	Y
ADARB1	NM_001112	MANE	N
ADARB2	NM_018702	MANE	Y
ADARB2-AS1	NR_033387	LongestTrx	Y
ADAT1	NM_001324445	MANE	N
ADAT2	NM_182503	MANE	Y
ADAT3	NM_138422	MANE	Y
ADCK1	NM_020421	MANE	Y
ADCK2	NM_052853	MANE	Y
ADCK5	NM_174922	MANE	Y
ADCY1	NM_021116	MANE	Y
ADCY10	NM_018417	MANE	Y
ADCY10P1	NR_026938	LongestTrx	Y
ADCY2	NM_020546	MANE	Y
ADCY3	NM_004036	MANE	Y
ADCY4	NM_001198568	MANE	N
ADCY5	NM_183357	MANE	Y
ADCY6	NM_015270	UniProt	Y
ADCY6-DT	NR_110019	LongestTrx	N
ADCY7	NM_001114	MANE	Y
ADCY8	NM_001115	MANE	Y
ADCY9	NM_001116	MANE	Y
ADCYAP1	NM_001099733	MANE	N
ADCYAP1R1	NM_001118	MANE	N
ADD1	NM_001354761	MANE	N
ADD2	NM_001617	MANE	N
ADD3	NM_016824	MANE	Y
ADD3-AS1	NR_038943	LongestTrx	Y
ADGB	NM_024694	MANE	Y
ADGRA1	NM_001083909	MANE	Y
ADGRA1-AS1	NR_111905	LongestTrx	N
ADGRA2	NM_032777	MANE	Y
ADGRA3	NM_145290	MANE	Y
ADGRB1	NM_001702	UniProt	Y
ADGRB2	NM_001364857	MANE	N
ADGRB3	NM_001704	MANE	Y
ADGRD1	NM_198827	MANE	Y
ADGRD1-AS1	NR_131950	LongestTrx	N
ADGRD2	NM_001161808	Missing	Y
ADGRE1	NM_001974	MANE	Y
ADGRE2	NM_013447	MANE	Y
ADGRE3	NM_032571	MANE	Y
ADGRE4P	NR_024075	LongestTrx	Y
ADGRE5	NM_078481	MANE	Y
ADGRF1	NM_153840	MANE	Y
ADGRF2	NM_153839	UniProt	Y
ADGRF3	NM_153835	UniProt	N
ADGRF4	NM_153838	MANE	Y
ADGRF5	NM_001098518	MANE	Y
ADGRF5-AS1	NR_110658	LongestTrx	N
ADGRG1	NM_201525	MANE	N
ADGRG2	NM_001079858	MANE	Y
ADGRG3	NM_170776	MANE	Y
ADGRG4	NM_153834	MANE	Y
ADGRG5	NM_001304376	MANE	N
ADGRG6	NM_198569	MANE	Y
ADGRG7	NM_032787	MANE	Y
ADGRL1	NM_014921	UniProt	N
ADGRL1-AS1	NR_045214	LongestTrx	Y
ADGRL2	NM_012302	UniProt	Y
ADGRL3	NM_001387552	MANE	N
ADGRL3-AS1	NR_110595	LongestTrx	N
ADGRL4	NM_022159	MANE	Y
ADGRV1	NM_032119	MANE	Y
ADH1A	NM_000667	MANE	Y
ADH1B	NM_000668	MANE	Y
ADH1C	NM_000669	MANE	Y
ADH4	NM_000670	MANE	Y
ADH5	NM_000671	MANE	Y
ADH6	NM_001102470	MANE	Y
ADH7	NM_000673	MANE	N
ADHFE1	NM_144650	MANE	Y
ADI1	NM_018269	MANE	Y
ADIG	NM_001018082	UniProt	Y
ADIPOQ	NM_004797	MANE	Y
ADIPOQ-AS1	NR_046662	LongestTrx	Y
ADIPOR1	NM_015999	MANE	Y
ADIPOR2	NM_024551	MANE	Y
ADIRF	NM_006829	MANE	Y
ADK	NM_006721	MANE	Y
ADM	NM_001124	MANE	Y
ADM2	NM_001253845	MANE	N
ADM5	NM_001101340	UniProt	Y
ADNP	NM_001282531	MANE	N
ADNP2	NM_014913	MANE	Y
ADNP-AS1	NR_110008	LongestTrx	N
ADO	NM_032804	MANE	Y
ADORA1	NM_000674	MANE	N
ADORA2A	NM_000675	MANE	Y
ADORA2A-AS1	NR_028484	LongestTrx	Y
ADORA2B	NM_000676	MANE	Y
ADORA3	NM_000677	MANE	N
ADPGK	NM_001365225	MANE	N
ADPGK-AS1	NR_040107	LongestTrx	Y
ADPRH	NM_001125	UniProt	Y
ADPRHL1	NM_138430	UniProt	Y
ADPRM	NM_020233	MANE	Y
ADPRS	NM_017825	MANE	Y
ADRA1A	NM_000680	MANE	Y
ADRA1B	NM_000679	MANE	Y
ADRA1D	NM_000678	MANE	Y
ADRA2A	NM_000681	MANE	Y
ADRA2B	NM_000682	MANE	Y
ADRA2C	NM_000683	MANE	Y
ADRB1	NM_000684	MANE	Y
ADRB2	NM_000024	MANE	Y
ADRB3	NM_000025	MANE	Y
ADRM1	NM_007002	MANE	N
ADSL	NM_000026	MANE	Y
ADSS1	NM_152328	MANE	N
ADSS2	NM_001126	MANE	Y
ADTRP	NM_032744	MANE	N
AEBP1	NM_001129	MANE	Y
AEBP2	NM_153207	MANE	N
AEN	NM_022767	MANE	Y
AFAP1	NM_198595	UniProt	N
AFAP1-AS1	NR_026892	LongestTrx	Y
AFAP1L1	NM_152406	MANE	Y
AFAP1L2	NM_001001936	MANE	Y
AFDN	NM_001386888	MANE	N
AFDN-DT	NR_027906	LongestTrx	Y
AFF1	NM_001166693	MANE	Y
AFF1-AS1	NR_038841	LongestTrx	Y
AFF2	NM_002025	MANE	Y
AFF3	NM_001386135	MANE	N
AFF4	NM_014423	MANE	Y
AFG1L	NM_145315	MANE	Y
AFG3L1P	NR_003226	LongestTrx	N
AFG3L2	NM_006796	MANE	Y
AFM	NM_001133	MANE	Y
AFMID	NM_001010982	UniProt	N
AFP	NM_001134	MANE	Y
AFTPH	NM_017657	UniProt	N
AFTPH-DT	NR_136167	LongestTrx	N
AGA	NM_000027	MANE	Y
AGAP1	NM_001037131	MANE	Y
AGAP10P	NR_160521	LongestTrx	N
AGAP11	NM_133447	UniProt	Y
AGAP12P	NR_029396	LongestTrx	Y
AGAP1-IT1	NR_131900	LongestTrx	N
AGAP2	NM_001122772	MANE	Y
AGAP2-AS1	NR_027032	LongestTrx	Y
AGAP3	NM_031946	MANE	Y
AGAP4	NM_133446	UniProt	Y
AGAP5	NM_001144000	MANE	Y
AGAP6	NM_001077665	UniProt	Y
AGAP7P	NR_126580	LongestTrx	N
AGAP9	NM_001190810	MANE	Y
AGBL1	NM_001386094	MANE	N
AGBL1-AS1	NR_046012	LongestTrx	Y
AGBL2	NM_024783	MANE	Y
AGBL3	NM_178563	MANE	Y
AGBL4	NM_032785	MANE	Y
AGBL4-AS1	NR_125988	LongestTrx	N
AGBL4-IT1	NR_046839	LongestTrx	N
AGBL5	NM_021831	MANE	Y
AGBL5-AS1	NR_046730	LongestTrx	N
AGER	NM_001136	MANE	N
AGFG1	NM_004504	MANE	N
AGFG2	NM_006076	MANE	Y
AGGF1	NM_018046	MANE	Y
AGK	NM_018238	MANE	Y
AGL	NM_000642	MANE	Y
AGMAT	NM_024758	MANE	Y
AGMO	NM_001004320	MANE	Y
AGO1	NM_012199	MANE	Y
AGO2	NM_012154	MANE	Y
AGO3	NM_024852	MANE	Y
AGO4	NM_017629	MANE	Y
AGPAT1	NM_006411	MANE	Y
AGPAT2	NM_006412	MANE	Y
AGPAT3	NM_020132	MANE	N
AGPAT4	NM_020133	MANE	Y
AGPAT4-IT1	NR_024277	LongestTrx	Y
AGPAT5	NM_018361	MANE	Y
AGPS	NM_003659	MANE	Y
AGR2	NM_006408	MANE	Y
AGR3	NM_176813	MANE	Y
AGRN	NM_198576	MANE	Y
AGRP	NM_001138	MANE	Y
AGT	NM_001384479	MANE	N
AGTPBP1	NM_001330701	MANE	N
AGTR1	NM_000685	MANE	N
AGTR2	NM_000686	MANE	Y
AGTRAP	NM_020350	MANE	Y
AGXT	NM_000030	MANE	Y
AGXT2	NM_031900	MANE	Y
AHCTF1	NM_001323342	MANE	N
AHCTF1P1	NR_077058	LongestTrx	Y
AHCY	NM_000687	MANE	Y
AHCYL1	NM_006621	MANE	Y
AHCYL2	NM_015328	UniProt	Y
AHDC1	NM_001371928	MANE	N
AHI1	NM_001134831	MANE	N
AHNAK	NM_001620	MANE	Y
AHNAK2	NM_138420	MANE	Y
AHR	NM_001621	MANE	Y
AHRR	NM_001377236	MANE	N
AHSA1	NM_012111	MANE	Y
AHSA2P	NM_152392	UniProt	Y
AHSG	NM_001622	MANE	Y
AHSP	NM_016633	MANE	Y
AICDA	NM_020661	MANE	Y
AIDA	NM_022831	MANE	Y
AIF1	NM_001623	MANE	Y
AIF1L	NM_031426	MANE	N
AIFM1	NM_004208	MANE	Y
AIFM2	NM_032797	MANE	Y
AIFM3	NM_001386814	MANE	N
AIG1	NM_016108	MANE	Y
AIM2	NM_004833	MANE	Y
AIMP1	NM_001142416	MANE	N
AIMP2	NM_006303	MANE	Y
AIP	NM_003977	MANE	Y
AIPL1	NM_014336	MANE	Y
AIRE	NM_000383	MANE	Y
AIRN	NR_047511	LongestTrx	N
AJAP1	NM_018836	MANE	Y
AJM1	NM_001080482	UniProt	Y
AJUBA	NM_032876	MANE	Y
AK1	NM_000476	MANE	Y
AK2	NM_001625	MANE	Y
AK3	NM_016282	MANE	Y
AK4	NM_013410	MANE	N
AK5	NM_174858	MANE	Y
AK6	NM_016283	MANE	Y
AK7	NM_152327	MANE	Y
AK8	NM_152572	MANE	Y
AK9	NM_001145128	MANE	Y
AKAIN1	NM_001145194	MANE	Y
AKAP1	NM_003488	MANE	Y
AKAP10	NM_007202	MANE	Y
AKAP11	NM_016248	MANE	Y
AKAP12	NM_005100	MANE	Y
AKAP13	NM_007200	MANE	N
AKAP14	NM_178813	MANE	Y
AKAP17A	NM_005088	MANE	Y
AKAP3	NM_001278309	MANE	N
AKAP4	NM_003886	MANE	Y
AKAP5	NM_004857	MANE	Y
AKAP6	NM_004274	MANE	Y
AKAP7	NM_016377	MANE	Y
AKAP8	NM_005858	MANE	Y
AKAP8L	NM_014371	MANE	Y
AKAP9	NM_005751	MANE	Y
AKIP1	NM_020642	MANE	Y
AKIRIN1	NM_024595	MANE	Y
AKIRIN2	NM_018064	MANE	Y
AKNA	NM_001317950	MANE	N
AKNAD1	NM_152763	MANE	Y
AKR1A1	NM_153326	MANE	Y
AKR1B1	NM_001628	MANE	Y
AKR1B10	NM_020299	MANE	Y
AKR1B15	NM_001080538	MANE	Y
AKR1C1	NM_001353	MANE	N
AKR1C2	NM_001354	UniProt	N
AKR1C3	NM_003739	MANE	N
AKR1C4	NM_001818	MANE	Y
AKR1C6P	NR_026743	LongestTrx	Y
AKR1C8P	NR_027916	LongestTrx	Y
AKR1D1	NM_005989	MANE	Y
AKR1E2	NM_001040177	MANE	Y
AKR7A2	NM_003689	MANE	Y
AKR7A2P1	NR_002796	LongestTrx	Y
AKR7A3	NM_012067	MANE	Y
AKR7L	NM_001348421	UniProt	N
AKT1	NM_001382430	MANE	N
AKT1S1	NM_001098633	MANE	N
AKT2	NM_001626	MANE	Y
AKT3	NM_005465	MANE	Y
AKTIP	NM_022476	MANE	Y
ALAD	NM_000031	MANE	Y
ALAS1	NM_000688	MANE	N
ALAS2	NM_000032	MANE	Y
ALB	NM_000477	MANE	Y
ALCAM	NM_001627	MANE	Y
ALDH16A1	NM_153329	MANE	Y
ALDH18A1	NM_002860	MANE	Y
ALDH1A1	NM_000689	MANE	Y
ALDH1A2	NM_003888	MANE	Y
ALDH1A2-AS1	NR_147215	LongestTrx	N
ALDH1A3	NM_000693	MANE	Y
ALDH1A3-AS1	NR_135831	LongestTrx	N
ALDH1B1	NM_000692	MANE	Y
ALDH1L1	NM_012190	MANE	N
ALDH1L1-AS1	NR_046602	LongestTrx	Y
ALDH1L1-AS2	NR_046383	LongestTrx	Y
ALDH1L2	NM_001034173	MANE	Y
ALDH2	NM_000690	MANE	Y
ALDH3A1	NM_000691	MANE	N
ALDH3A2	NM_000382	MANE	N
ALDH3B1	NM_000694	MANE	N
ALDH3B2	NM_001031615	LongestTrx	Y
ALDH4A1	NM_003748	MANE	Y
ALDH5A1	NM_001080	MANE	N
ALDH6A1	NM_005589	MANE	Y
ALDH7A1	NM_001182	MANE	N
ALDH8A1	NM_022568	MANE	Y
ALDH9A1	NM_000696	UniProt	Y
ALDOA	NM_001243177	MANE	Y
ALDOB	NM_000035	MANE	Y
ALDOC	NM_005165	MANE	Y
ALG1	NM_019109	MANE	Y
ALG10	NM_032834	MANE	Y
ALG10B	NM_001013620	MANE	Y
ALG11	NM_001004127	MANE	Y
ALG12	NM_024105	MANE	Y
ALG13	NM_001099922	MANE	Y
ALG14	NM_144988	MANE	Y
ALG14-AS1	NR_132786	LongestTrx	N
ALG1L	NM_001015050	UniProt	Y
ALG1L2	NM_001136152	MANE	Y
ALG1L9P	NR_073386	LongestTrx	N
ALG2	NM_033087	MANE	Y
ALG3	NM_005787	MANE	Y
ALG5	NM_013338	MANE	Y
ALG6	NM_013339	MANE	Y
ALG8	NM_024079	MANE	Y
ALG9	NM_024740	MANE	N
ALK	NM_004304	MANE	Y
ALKAL1	NM_207413	MANE	Y
ALKAL2	NM_001002919	MANE	Y
ALKBH1	NM_006020	MANE	Y
ALKBH2	NM_001145374	MANE	N
ALKBH3	NM_139178	MANE	Y
ALKBH3-AS1	NR_038907	LongestTrx	Y
ALKBH4	NM_017621	MANE	Y
ALKBH5	NM_017758	MANE	Y
ALKBH6	NM_032878	UniProt	Y
ALKBH7	NM_032306	MANE	Y
ALKBH8	NM_138775	MANE	Y
ALLC	NM_018436	MANE	Y
ALMS1	NM_001378454	MANE	N
ALMS1-IT1	NR_046762	LongestTrx	N
ALMS1P1	NR_003683	LongestTrx	Y
ALOX12	NM_000697	MANE	Y
ALOX12-AS1	NR_040089	LongestTrx	Y
ALOX12B	NM_001139	MANE	Y
ALOX12P2	NR_002710	LongestTrx	Y
ALOX15	NM_001140	MANE	Y
ALOX15B	NM_001141	MANE	Y
ALOX15P1	NR_045985	LongestTrx	Y
ALOX5	NM_000698	MANE	Y
ALOX5AP	NM_001629	MANE	N
ALOXE3	NM_021628	MANE	N
ALPG	NM_031313	MANE	Y
ALPI	NM_001631	MANE	Y
ALPK1	NM_025144	MANE	N
ALPK2	NM_052947	MANE	Y
ALPK3	NM_020778	MANE	Y
ALPL	NM_000478	MANE	Y
ALPP	NM_001632	MANE	Y
ALS2	NM_020919	MANE	Y
ALS2CL	NM_147129	MANE	Y
ALX1	NM_006982	MANE	Y
ALX3	NM_006492	MANE	Y
ALX4	NM_021926	MANE	Y
ALYREF	NM_005782	MANE	Y
AMACR	NM_014324	MANE	N
AMBN	NM_016519	MANE	Y
AMBP	NM_001633	MANE	Y
AMBRA1	NM_001387011	MANE	N
AMD1	NM_001634	UniProt	Y
